occurrence_id,source_type,ADM0_NAME,ISO_code,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,Location_name,lat,long,Geo_reliability,max_year,N_positive,higher_taxon,lower_taxon,Sample_type,PCR_Test,ER_result,KR_result,IS2404_result,16SrRNAresults,16S_23S ITS,IS2606_result,VNTR_MIRU_result_MU,VNTR_result_MPM,qPCR_confirmed,other tests,other results,MU_confirmed,Record_number
BU_env_AU_136,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2008,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_136,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2009,7,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_137,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2010,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_137,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2010,9,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_138,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2011,1,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_138,LIT,Australia,AUS,Victoria,AUS.10_1,,,Bellbird Creek,-37.654799,148.813948,3,2012,4,possum,Possum,terrestrial vertebrate- clinical ,IS2404,,,positive,,,,,,,,Clinical diagnosis,yes,6971
BU_env_AU_18,LIT,Australia,AUS,Victoria,AUS.10_1,,,"Cowes, Phillip Island",-38.463413,145.238673,3,2001,3,Possum,Possum,terrestrial vertebrate- clinical,IS2404,,,positive,,,,,,,"clinical, histology, AFB",,yes,8894
BU_env_AU_333,LIT,Australia,AUS,Queensland,AUS.7_1,,,Daintree,-16.259195,145.33424,3,2013,1,,Bandicoot ,terrestrial vertebrate- faeces,"IS2404, IS2606",,,positive,,,,,,,,,yes,6686
BU_env_AU_63,LIT,Australia,AUS,Victoria,AUS.10_1,Mornington Peninsula,AUS.10.53_1,Sorrento/Blairgowrie,-38.355156,144.754748,2,2013,4,possum,ringtail,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,6968
BU_env_AU_64,LIT,Australia,AUS,Victoria,AUS.10_1,Mornington Peninsula,AUS.10.53_1,Sorrento/Blairgowrie,-38.355156,144.754748,2,2013,19,possum,brushtail ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,6968
BU_env_AU_7,LIT,Australia,AUS,Queensland,AUS.7_1,,,Daintree,-16.259195,145.33424,3,2013,2,,Bandicoot ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,6686
BU_env_AU_7,LIT,Australia,AUS,Victoria,AUS.10_1,East Gippsland,AUS.10.19_1,Raymond Island,-37.91486,147.734114,3,1980,7,,koala,terrestrial vertebrate- clinical ,none,,,,,,,,,,"histopathology +, ZN+ and culture+","7 positive on histopathology and ZN, 2 additionally positive on culture",yes,6686
BU_env_AU_8,LIT,Australia,AUS,Queensland,AUS.7_1,,,Wonga beach,-16.34487,145.413462,3,2013,1,na,mosquito,terrestrial invertebrate,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,Yes,6686
BU_env_AU_81,LIT,Australia,AUS,Victoria,AUS.10_1,,,Barwon Heads,-38.2747705,144.4881352,0,2009,44,,Ringtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_82,LIT,Australia,AUS,Victoria,AUS.10_1,,,Ocean Grove,-38.267045,144.52487,6,2009,0,,Ringtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_82,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2009,70,,Ringtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,ZN stain,yes,7155
BU_env_AU_83,LIT,Australia,AUS,Victoria,AUS.10_1,,,Boho South,-36.7908543,145.8024316,4,2009,0,,Ringtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_83,LIT,Australia,AUS,Victoria,AUS.10_1,,,Queenscliff,-38.2671132,144.6612949,6,2009,3,,Ringtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_84,LIT,Australia,AUS,Victoria,AUS.10_1,,,Breamlea,-38.2963799,144.3897794,4,2009,0,,Ringtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_84,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2009,10,,Ringtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_85,LIT,Australia,AUS,Victoria,AUS.10_1,,,Greater Melbourne,-37.814,144.96332,4,2009,0,,Ringtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_85,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2009,8,,Brushtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_86,LIT,Australia,AUS,Victoria,AUS.10_1,,,Torquay,-38.3266551,144.3134076,4,2009,1,,Ringtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_86,LIT,Australia,AUS,Victoria,AUS.10_1,,,Barwon Heads,-38.2747705,144.4881352,0,2009,15,,Brushtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_87,LIT,Australia,AUS,Victoria,AUS.10_1,,,Ocean Grove,-38.267045,144.52487,6,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_87,LIT,Australia,AUS,Victoria,AUS.10_1,,,Phillip Island,-38.48349,145.23102,4,2009,1,,Brushtail possum ,terrestrial vertebrate- faeces,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_88,LIT,Australia,AUS,Victoria,AUS.10_1,,,Queenscliff,-38.2671132,144.6612949,6,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_88,LIT,Australia,AUS,Victoria,AUS.10_1,,,Boho South,-36.7908543,145.8024316,4,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_89,LIT,Australia,AUS,Victoria,AUS.10_1,,,Bellarine Peninsula,,,,2009,0,,soil,terrestrial non-animal,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_89,LIT,Australia,AUS,Victoria,AUS.10_1,,,Breamlea,-38.2963799,144.3897794,4,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_89,LIT,Australia,AUS,Victoria,AUS.10_1,,,Torquay,-38.3266551,144.3134076,4,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_89,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,-38.2725073,144.6136725,4,2009,0,,soil,terrestrial non-animal,"IS2404, IS2606 + KR",,positive,positive,,,positive,,,yes,,,yes,7155
BU_env_AU_90,LIT,Australia,AUS,Victoria,AUS.10_1,,,Point Lonsdale,,,,2009,0,,possums,terrestrial vertebrate- clinical,IS2404,,,negative,,,,,,,Clinical,,no,7155
BU_env_AU_90,LIT,Australia,AUS,Victoria,AUS.10_1,,,gippsland,,,,2009,0,,terrestrial plants,terrestrial non-animal,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AU_90,LIT,Australia,AUS,Victoria,AUS.10_1,,,Greater Melbourne,-37.814,144.96332,4,2009,0,,Brushtail possum ,terrestrial vertebrate- faeces,IS2404,,,negative,,,,,,,,,no,7155
BU_env_AUS_81,LIT,Australia,AUS,Victoria,AUS.10_1,Wellington,AUS.10.72_1,Longford,,,,2006,1,Feline,Cat,terrestrial vertebrate- clinical,16S-23s + IS2404,,,positive,,positive,,,,,,Clinical diagnosis,yes,7273
BU_env_BEN_64,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agonbo,6.732062,2.391786,2,2018,1,,Dog,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,positive,positive,,,positive,positive,,yes,,,yes,6216
BU_env_BEN_65,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agbahounsou,6.685028,2.393486,2,2018,1,,Goat,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,positive,positive,,,positive,positive,,yes,,,yes,6216
BU_env_BEN_65,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agonbo,6.732062,2.391786,2,2018,1,,Sheep,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,negative,positive,,,negative,,,yes,,,yes,6216
BU_env_BEN_66,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agodenou,6.706492,2.375438,2,2018,1,,Goat,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,negative,positive,,,negative,,,yes,,,yes,6216
BU_env_BEN_66,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agonbo,6.732062,2.391786,2,2018,2,,Goat,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,negative,positive,,,positive,,,yes,,,yes,6216
BU_env_BEN_67,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agbahounsou,6.685028,2.393486,2,2018,1,,Sheep,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,negative,positive,,,positive,,,yes,,,yes,6216
